type,text,listPrice,lastSoldPrice,sqft,stories,beds,baths,baths_full,garage,zip code ,sold_to_list_ratio
single_family,"Final and Best All Offers Due on Monday 3/30 at 10am A true gem awaits at [Redacted entity] in Clifton! This charming and meticulously maintained Cape offers fabulous curb appeal and a warm, inviting feel from the moment you arrive. The flexible floor plan features [Redacted entity] and 2 full baths. The main level welcomes you with a bright living room flowing into a dining room with elegant French doors, which can easily serve as a third bedroom if desired. A beautifully renovated modern full bath, comfortable main-floor bedroom, and eat-in kitchen with access to a charming covered side porch complete this level perfect for morning coffee or relaxing evenings. Upstairs boasts a spacious primary bedroom suite with a full bath, abundant closet space, and walk-in attic storage. The finished tiled basement expands the living space with a large recreation room, office area, laundry room, storage, and [Redacted entity] doors providing direct access to the yard. Outside, enjoy a meticulously landscaped, fully fenced yard with a paver patio, ideal for outdoor dining and entertaining. Additional highlights include hardwood floors on the main level, updated windows, newer furnace and central air (2022), hot water heater (2019), roof (2012), a 1-car garage, and private driveway. Conveniently located near NYC transit, major highways, shopping, and parks. Don't miss your chance to [Redacted entity]!",525000,575000,,,2,2,2,1,7011,1.095238
single_family,"Welcome to this exceptional home in a sought-after Toll Brothers 55+ active adult community, offering elegance, comfort, and a unique floor plan rarely available. This residence boasts a rare finished, fully permitted basement featuring a spacious bedroom, large living area, half bath (plumbed for a shower or a tub), a cedar closet, and tons of storage space--ideal for guests, hobbies, or extended living. The main level showcases timeless craftsmanship with crown moldings, decorative trim, elegant columns, and custom built-ins that elevate every room. Entertain with ease in the open living spaces, or step outside to the beautiful paver patio, perfectly positioned to enjoy serene views of the private wooded backdrop. Includes BRAND NEW water heater!",684000,679000,1858,1,3,3,2,2,8731,0.99269
single_family,"Welcome home to this beautifully maintained 4 bedroom, 3 full bath Colonial. Inviting foyer with hardwood floors and French doors leading to the 24x14 living room. Refinished, gleaming hardwood floors and abundant windows fill the home with natural light. Formal dining room is perfect for entertaining and special occasions. Spacious eat-in kitchen with sliders to a two-tier deck ideal for outdoor dining and gatherings. Family room features brand-new carpeting, creating a warm and cozy space to relax. Second level offers a primary suite with full bath, plus three additional bedrooms and another full bath. Finished basement provides rec room and bonus space. Large backyard with shed. Central air. Conveniently located near schools and shopping. HIGHEST AND BEST BY 3/9 AT 6PM.",750000,810000,,,4,3,3,2,7054,1.08
single_family,"Nestled in the quaint Anglesea neighborhood, this property provides numerous possibilities for your next beach home! This beach cottage has been well-maintained for years and provides plenty of opportunity for the next owners. You will be welcomed by the front porch, perfect for enjoying island breezes since the inlet is just over a block away from this property. Upon entering the home, you will find a cozy living room leading into an open concept eat-in kitchen. The kitchen features stainless steel appliances, ample storage, and updated features. There are two seating options with the space for a small dining table in the kitchen as well as the bar counter along the living room. Off of the living room, you will find two bedrooms and a full bathroom. Both bedrooms have great lighting, ceiling fans and closets with plenty of storage. The full bathroom contains a tub shower, upgraded vanity and fixtures, and well-maintained tile work. Back through the kitchen you will find a laundry area with a washer and dryer, more storage cabinets, and the hot water heater. There is also an exterior side door at the laundry room with steps leading to the back yard and the outside shower. The oversized master suite features an en suite full bathroom with walk-in shower, walk-in closet, and back deck. The size of this bedroom leaves plenty of space to design your ideal master suite. This property has a 2-car driveway and due to its location, additional free parking on the street is rarely an issue. This home features plenty of storage options, including two storage attics (one access in the hallway outside of the bathroom and one in the master closet), as well as an attached storage shed in the rear of the property. Schedule your showing today!",710000,700000,1158,,3,2,2,,8260,0.985915
single_family,"Step inside this remarkable contemporary home, designed and built in 1972 by its current owner. Every corner tells a story of creativity, vision, and pride, blending the bold lines of contemporary architecture with the warmth of a true family home. Vaulted ceilings, spacious rooms, and unique architectural details showcase the character of an era that celebrated both style and comfort. Step through the gate to discover a hidden garden-with a large Japanese-inspired pond surrounded by lush landscaping. Brick pathways take you through a tranquil setting, with its artful design and natural beauty, creating a sense of calm and escape. Very private & serene, it's a personal Shangri-La tucked away just beyond your own doorstep. Double doors beckon you inside where you will find expansive living spaces that flow effortlessly, filled with natural light from wide windows that invite the outdoors in. A two-story foyer welcomes guests into the formal living room with vaulted ceiling and original parquet flooring plus a double-sided wood burning fireplace that is shared with the bright solarium beyond the French doors. The solarium offers a sun-drenched retreat year-round - perfect for morning coffee, time in the sauna, an indoor garden, or simply soaking up the view. Sliders from the solarium lead to the expansive brick patio, pool and gardens. Back inside, a peaceful and private den is the perfect place to curl up with a good book. The kitchen was updated in 2005 with granite countertops and custom cabinetry. Stainless steel appliances, a laundry room and powder room complete this space. The dining room was meant for entertaining with enough room for even the most expansive dining room table. Upstairs find the primary suite with attached bathroom, a peaceful retreat designed for comfort and connection with nature. With access to a private balcony overlooking the inground pool, it's the perfect spot to enjoy quiet mornings or unwind in the evenings. Don't miss the exterior spiral staircase for easy access to the yard! Two additional spacious bedrooms complete this level with hardwood floors and great closet space. A second full bath serves this area of the home, blending function with style to meet every day needs with ease. Beyond the main living areas, an additional 2,000 square feet of flexible space offers endless possibilities. Once used for the owner's graphic design business, this stunning two-story conservatory is custom designed around a dramatic red oak center hub, surrounded by brick walls, exposed beams and intricate brick flooring. Floor-to-ceiling windows on both levels fill the space with natural light, creating a breathtaking environment that's equal parts creative and serene. A Vermont cast iron stove adds extra warmth to the area as well as sets the mood on snowy winter days. Behind this space are three additional rooms including a kitchenette and a full bathroom, ready to be reimagined as a studio space, a guest suite, multi-generational use or expanded living space. Outdoors, a heated, inground pool set in a brick patio creates the ultimate gathering spot for summer fun, surrounded by space for entertaining and relaxation. Beyond the pool is a private lanai with planters, perfect for a new hot tub. An arbor on the far side of the pool is wonderful for dining outdoors and there is still plenty of garden and open space to play. And when the sun goes down, the party continues in the basement's original disco - a one-of-a-kind feature that keeps the vibrant spirit of the 70s alive. Complete with dance floor, bar, professional sound and light system, the party never needs to end! Whether you're drawn to its architectural uniqueness, its entertaining spaces, or the sense of care woven into its design, this property offers something rare: a house with a story, waiting for yours to begin! Tinton Falls offers the perfect blend of suburban comfort and commuter convenience, with easy access to major highways and nearby train and",1050000,995000,4630,3,3,4,3,,7724,0.947619
single_family,"Move right into this all new beautifully remodeled home in Silveridge Park West, featuring 2 bedrooms and 1.5 baths plus a den/bonus room. Fully updated with fresh neutral finishes throughout. Stunning kitchen with quartz countertops, stainless steel appliances and custom cabinetry. Spacious living and dining areas are filled with natural light. Updated bathrooms with modern fixtures. Major upgrades include natural gas conversion, new roof, new siding. This turnkey home offers the perfect blend of comfort, style and convenience - just unpack and enjoy!",359000,359000,,1,2,2,1,1,8757,1
single_family,"Welcome to this beautifully maintained Colonial, perfectly positioned on a cul-de-sac street with charming curb appeal and thoughtful updates throughout. This home offers the ideal blend of comfort, space, and convenience. Step inside to find gleaming bamboo floors that flow through the living and dining rooms, creating a warm and inviting setting for both everyday living and entertaining. The spacious kitchen offers ample room to gather and cook, while the sunroom provides the perfect spot to relax and unwind year-round. Upstairs, you'll find four generously sized bedrooms with hardwood floors and two full bathrooms designed for functionality and comfort. A fully finished basement adds versatile living space ideal for a recreation room, home office, or gym while the full-size attic provides abundant storage options. Major updates include a roof and boiler installed in 2019, offering peace of mind for years to come. Conveniently located near the NYC train station, Route 287, the town center, and a variety of restaurants, this home is truly a commuter's dream. Don't miss the opportunity to make this exceptional property your own.",799000,835000,,,4,2,2,1,7960,1.045056
multi_family,GREAT INVESTMENT OPORTUNITY BOTH UNITS ARE RENTED.,650000,650000,19998,2,5,2,2,,7801,1
single_family,"Welcome to [Redacted entity], a spacious two-story home where comfort, flexibility, and opportunity come together in a way that truly stands out. Offering approximately 1,540 sqft of living space, this 3-bedroom, 3.5-bath residence delivers a layout designed for both everyday living and endless possibilities. From the moment you arrive, the home's clean exterior and classic design create an inviting first impression. Step inside and experience a bright, open living area where natural light fills the space, creating an airy and comfortable atmosphere. The seamless flow into the dining area enhances the sense of openness, making it ideal for both relaxing evenings and hosting gatherings. The kitchen sits at the heart of the home, thoughtfully positioned to connect with the main living spaces. With ample cabinetry and workspace, it offers both functionality and potential-perfect for everyday use or future customization to match your personal style. The adjacent dining area provides a versatile setting for casual meals or more formal occasions, all within a cohesive and connected layout. Upstairs, you'll find three well-proportioned bedrooms designed with comfort in mind. The primary suite offers the added convenience of a private ensuite bathroom, creating a personal retreat within the home. The additional bedrooms provide flexibility for family, guests, or even a dedicated home office, each filled with natural light and designed to adapt to your needs. Multiple bathrooms throughout the home ensure comfort and convenience for everyone. One of the standout features of this property is the finished basement-an expansive bonus space that opens the door to countless possibilities. Whether you envision a media room, home gym, recreation area, or additional living space, this level provides the flexibility to truly make the home your own. With a full bathroom already in place, the basement adds both function and value. Step outside to discover a fenced backyard, offeri",245000,245000,1540,2,3,4,3,,8232,1
single_family,"Welcome to Renaissance at Manchester, a gated 55+ active adult community. This lovingly cared for Florence model offers plenty of opportunity for your own personal style. Ideally situated near the clubhouse for easy access to all the activities you'll love, yet tucked away just enough for peace & privacy. Renaissance is a premier 55+ communities, featuring a state-of-the-art clubhouse, in/outdoor pools, golf course, fitness ctr, tennis & more!",409000,409000,1678,1,2,2,2,2,8759,1
single_family,"Experience the quintessential Kinnelon lifestyle in this beautifully updated 3-bedroom, 2-bath home. At the heart of the house is a stunning, oversized kitchen featuring sleek quartz countertops, a dedicated pantry, and sliding doors that lead directly to your private deck perfect for morning coffee or alfresco dining.The main bathroom feels like a sanctuary, renovated with dual sinks and flooded with natural light from overhead skylights. On chilly evenings, retreat to the living area to cozy up by the stone fireplace with its efficient wood-burning insert. A massive family room featuring radiant heat flooring and direct outdoor access will become a favorite separate gathering space. A level backyard houses two sheds, including one fully equipped with air conditioning the ultimate quiet, work-from-home office or hang out space when you just need some alone time. Enjoy full lake privileges, tennis courts, and the active Fayson Lakes community.",625000,615000,1820,,3,2,2,,7405,0.984
single_family,"Charming 4Bdrm/1Bth colonial, in the Upper Gregory Section of West Orange. Bring your builders and investors as this home offers great potential. Home is in need of some TLC with endless possibilities for a buyer who has a vision. The main floor features a living room with wood burning fireplace, spacious dining room, den, or office, and kitchen which awaits your personal touch. The 2nd floor features 3 bedrooms, and full bath and a walk up finished attic with a fourth bedroom. The unfinished basement awaits renovation for a rec room or family room. This home comes with a spacious driveway, with a detached two car garage and plenty of yard space space for activities of your choice. Take advantage of this huge opportunity to own a home in one of the best areas in West Orange. With a bit of vision and effort, this property can become a true gem. Do not miss this opportunity to turn this project into your dream home. HOME IS BEING SOLD STRICTLY AS IS !! If you're looking for a great opportunity to own a home in The Great Gregory Section of WO, then look no further, and let 43 Ridgeview become your new dream home. This West Orange gem is close to The Turtleback Zoo, South Mountain Recreation Complex, Mcloone's restaurant, schools and major highways. Conveniently located 1 mile to NYC trains with jitney service to stations to make your NY City commute easy and pleasurable.",537000,658000,,,4,1,1,2,7052,1.225326
single_family,"Updated Colonial located on a premier residential street in the desirable Elmora Hills section. This well-maintained home features a spacious living room, formal dining room, updated eat-in kitchen, and a versatile office/sitting room with a convenient half bath on the first floor. The second floor offers three comfortable bedrooms and a full bath. The fully finished, updated basement includes an additional bathroom, providing excellent extra living space ideal for recreation, a home office, or guests. The property also features a large newer garage and an outdoor patio, perfect for summer entertaining. Conveniently located minutes from a newer grammar school, houses of worship, Kean University, multiple train stations, shopping, restaurants, fitness centers, golf courses, parks, and recreation.",580000,620000,,,3,3,2,1,7208,1.068966
condos,"Welcome to this 2026 Updated condo in the highly sought-after Claremont Hills community of Hillsborough, NJ! Northeast-facing Move-in ready this home showcases exceptional valueperfect for both homeowners and savvy investors. Step inside to an inviting entry foyer with ceramic tile that flows into a bright, open-concept living and dining area, complete with access to a private rear patio. 2026 upgrades includes brand-new flooring, fresh contemporary paint, light fixtures, and new blinds. The updated kitchen offers Brand New 2026 appliances, including a stove, hood, dishwasher, refrigerator and an updated sink with a modern faucet. The well-designed kitchen offers convenience with first-floor laundry. Upstairs, you'll find two spacious bedrooms, with spacious closets & storage, along with a full bath. Additional highlights include two assigned parking spaces (597-1 & 597-2) . The HOA fee covers water and trash removal for added ease of living. Ideally situated in the heart of Hillsborough, this home is just minutes from top-rated schools, shopping, dining, parks, the local farmer's market, and Route 206 making commuting a breeze.",324900,350000,1248,,2,2,1,,8844,1.077255
single_family,"Welcome to [Redacted entity], a charming single-family home in the heart of North Arlington, NJ! Step inside and be greeted with a convenient foyer entrance. The spacious living room features a cozy gas fireplace, perfect for relaxing on chilly evenings. A formal dining room provides ideal space for hosting dinners, while the eat-in kitchen has plenty of room for casual meals. Sliders lead out to a patio and large private backyard creating a serene retreat for outdoor entertaining. Upstairs, you will find three bedrooms and a renovated bathroom adding a touch of modern luxury with a stand up tile shower. A versatile finished 3rd floor can serve as a 4th bedroom or recreation room. The home has been meticulously maintained and recently upgraded with new central air conditioning, roof, and hot water heater. Don?t miss the opportunity to make this inviting house your new home. Schedule a visit today to experience everything [Redacted entity] has to offer!",599000,630000,,,3,2,1,,7031,1.051753
condos,"Welcome to this beautifully fully renovated 3-bedroom, 1.5-bath condominium in North Wildwood's desirable east side, just a short walk to the beach, bay, boardwalk, restaurants, and local attractions. The interior features a bright, open layout with coastal-inspired finishes, luxury vinyl flooring, and abundant natural light throughout. The modern kitchen is outfitted with white cabinetry, granite countertops, stainless steel appliances, and ample prep space, flowing seamlessly into the dining and living areas, perfect for relaxing after a day at the shore or entertaining guests. The bathroom showcases a spacious walk-in tiled shower with a built-in niche and clean, contemporary finishes. The condo also includes the convenience of a full-size washer and dryer. Being sold fully furnished, this property is ready for immediate enjoyment as a personal beach retreat or an income-producing investment. Located within a four-unit condominium association across two buildings, the property offers a more private and intimate setting compared to larger complexes. Each unit includes one assigned parking space, and residents share access to a courtyard area ideal for outdoor relaxation or gathering with friends and family. Utilities include separate electric meters, while water and sewer are shared and incorporated into the condominium fees (taxes and fees estimated). Whether you're looking for a turnkey shore getaway, rental investment, or low-maintenance beach home, this North Wildwood property offers the perfect combination of location, comfort, and coastal lifestyle. [Redacted entity] private showing!",565000,565000,,1,3,1,1,,8260,1
coop,"Welcome home to this sunny and cozy studio apartment in the heart of Fort Lee! Great location close to parks and transportation. Nothing needs to be done in this lovely studio that boasts hardwood floors, updated kitchen and bathroom, ample closet space and neutral color walls, just move right in! Do not miss this opportunity to live or invest in desirable Fort Lee!",160000,170000,,1,0,1,1,,7024,1.0625
single_family,"Come see this Charming newly renovated home in the HEART of Oakhurst! 2 bedroom 1 bathroom ranch. Filled with lots of natural sunlight, this home was completely renovated inside and out. Can you say NEW? Brand new outdoor siding, new roof, new HVAC furnace, new windows, new flooring and tiling! [Redacted entity] and backyard with all new brick pavers. You will love the open concept living and dining room which makes for great entertaining. New dream kitchen with custom cabinetry, stainless steel appliances, granite stone countertops, and an island that seats 4! All hardwood floors throughout the home! Wonderful size bedrooms with closets! Fenced in yard, patio, and mature gardens. Perfect for family and friend gathering! THIS WILL NOT LAST!",759000,750000,,1,2,1,1,,7755,0.988142
condos,"Experience the epitome of luxury in the Colehill, a three-story townhome encompassing an impressive open floor plan with airy living spaces. Step into the main living level, highlighted by a spacious great room and casual dining area that overlooks the well-equipped kitchen complete with ample counter space and a center island. Retreat to the peaceful primary bedroom suite on the second floor, which is enhanced by a balcony, an expansive walk-in closet, and a lavish private bath offering dual vanities, a large shower with seat, and a private water closet. The third floor showcases two sizable secondary bedrooms that share a hall bath and are central to a versatile loft space. An exquisite rooftop terrace provides plenty of opportunity for entertaining and relaxing.",1801255,1861269,2047,3,3,3,3,1,7712,1.033318
townhomes,"Now on the market! This 3-bedroom semi-detached home is a great opportunity for investors or first-time homebuyers.The home features plenty of natural light throughout, along with separate living and dining rooms. There is also ample storage space for added convenience.Come see the potential this home has to offer! Property is being sold strictly as-is. [Redacted entity] is responsible for all city inspections, certifications, and any required repairs.",189000,170000,1404,2,3,1,1,,8609,0.899471
single_family,"Modern classic on 4.67 wooded acres with a 200-ft paved driveway. This spacious 3-bedroom, 2-bath home (office easily converts to a 4th bedroom) features an open dining area, large kitchen, and dedicated office. Both baths are beautifully updated with durable beadboard wainscoting, stylish vanities, and modern fixtures. High-end finishes include crown molding, wall-frame detailing, and real wood trim throughout. Major systems are updated with a 3-year-old tankless water heater and 5-year-old furnace and central AC. Enjoy a lush, irrigated lawn and access to sought-after Blue Ribbon schools from Williams Davies Elementary through ACIT.",449000,449000,,,3,2,2,,8330,1
single_family,"STUNNING, RENOVATED Home Situated in the sought after Fairways! 2 BEDROOMS + DEN! This is your dream home w/ gorgeous Modern & Tasteful decor throughout. Spacious Dining Living Room w/ Recessed Lighting & Vaulted Ceilings. Magnificent NEW KITCHEN, with Quartz Counters & Backsplash, [Redacted entity] TWO SINKS, & NEW Stainless Steel Appliances . GORGEOUS NEW BATHROOMS Featuring Magnificent Tiles & Vanities. Den can be a third bedroom or utilized as a study. Freshly Painted! All New flooring! Stunning Light Fixtures. [Redacted entity] Windows! MAKE THIS HOME YOURS! *2 YEARS YOUNG ROOF *[Redacted entity] *UPDATED HVAC (AC replaced in 2016 and Furnace in 2018)",589000,580000,,1,2,2,2,1,8701,0.98472
single_family,"Opportunity to buy this 4/5 bedroom home with basement at a great price. Subject has 2 full baths, one on each floor.",329900,340000,1512,2,5,2,2,,8831,1.030615
multi_family,"Very stylish, young 2 Family with [Redacted entity]. Very unique layout with the main apartment with 3 bedrooms and 2 baths, has soaring ceilings and a wonderful open layout. Walk in closets and lovely floors. With it's separate private entrance is a one bedroom rental apartment that will ""pay the bills"". Extremely comfortable home with central air and the perfect backyard! [Redacted entity]! You'll be in for the summer! This is a must see!",750000,720000,,,4,3,2,3,7305,0.96
condos,"Welcome to [Redacted entity], [Redacted entity] premier waterfront boating community where coastal living meets effortless convenience. Perfectly positioned along Bay Avenue, [Redacted entity] offers a true marina lifestyle with direct water access, a vibrant local scene, so many in walking distance, and close proximity to Ocean City and Longport beaches, waterfront dining, and summer concerts. This beautifully updated 2-bedroom, 2-bath end unit is filled with natural light thanks to additional windows and is being sold fully furnished for a seamless, move-in-ready experience. The interior has been completely upgraded with a stunning, fully renovated kitchen featuring modern finishes, waterfall, quartz countertops, new appliances, including an induction stove, along with two brand new, spa-like bathrooms. Additional upgrades include a new HVAC system, tankless instant hot water heater, and a two-year-old full-size front-load stackable washer and dryer. Thoughtful details elevate this home even further, including all new window treatments throughout. The slider features a remote-controlled shade that glides up and down at the push of a button, adding both convenience and style. Step outside to your private deck, where unobstructed water views create a peaceful, natural setting with nothing but open space across the way. Enjoy breathtaking sunrises with your morning coffee while taking in the calm, scenic surroundings. This unit also includes a deeded boat slip #19, accommodating up to a 24-foot boat, making it ideal for boating enthusiasts looking for quick access to the bay and beyond. A carport, private storage unit, and parking for two cars plus guest spaces provide added convenience.",769000,769000,,,2,2,2,,8244,1
townhomes,"Come see this beautifully maintained 2 bed 2 1/2 bath Townhome in the desirable Millponds. From the moment you step inside you will notice the inviting atmosphere filled with natural light and the space designed for everyday living. The home features [Redacted entity] size bedrooms each with their own bathrooms. Step outside and enjoy the spacious paver patio perfect for gatherings or quiet mornings. This home in conveniently located near tons of shopping, restaurants and commuting. **Newer washer & Dryer, whole house painted in 2020. High-hats on 1st floor all put in >3 years.",475000,460000,1543,2,2,3,2,,7751,0.968421
townhomes,"Welcome to this charming corner-unit townhouse in highly desirable South Brunswick! With no monthly maintenance fees, this home offers incredible value and flexibility perfect for homeowners looking to create a space truly their own. Enjoy the convenience of your private garage and driveway, providing ample parking and storage options. Outside, the property continues to impress with a large backyard a rare find in townhouse living offering space for gardening, play, or peaceful outdoor relaxation. The expansive deck is perfect for gatherings, grilling, or simply enjoying the seasons.With its corner-unit privacy, generous outdoor space, and unbeatable low-maintenance lifestyle, this South Brunswick gem is ready to welcome its next owner.Don't miss the opportunity to make this versatile townhouse your own!",499000,455000,,,2,2,1,1,8810,0.911824
single_family,"Well-maintained duplex conveniently located near restaurants, public transportation, and just 5 minutes from downtown New Brunswick. This home features 2 bedrooms, 1 full bath with tub, and 1 half bath. Wood flooring throughout and a fully finished basement offering extra space for a home office or entertainment area. Private driveway, detached oversized 2-car garage, and backyard with electrical connectionperfect for entertaining. 200-amp electrical service. Great opportunity in a prime location!",360000,358000,,2,2,2,1,2,8901,0.994444
condos,"Welcome to 126 61st Street-EAST! This NEW CONSTRUCTION home brought to you by Redfern Ocean Development has all the upscale features and finishes you are dreaming of INCLUDING AN ELEVATOR, all while being perfectly situated one short block from the beach. This family-friendly location is just a short walk to the beach, playground, sports fields, [Redacted entity], bay, restaurants, Acme, ice cream parlor and more. The [Redacted entity]. is one of the quietest and least trafficked streets in Sea Isle due to its unique characteristic of not being a straight through street from Landis Ave. to Central Avenue. and has the nicest open landscaped beach path entrance in Sea Isle. Curb appeal abounds with numerous upgraded architectural design features including Hardie Board siding and white Board and Batten on bump outs as seen in the attached photos of a similar property. Offering five bedrooms plus a 6th bonus/bedroom along with four and a half baths, there is plenty of space for the whole family and their guests. The first level offers a large [Redacted entity] with its own full bath and direct access to the fenced in backyard and outdoor enclosed shower. Equip this room with a sleeper sofa and you'll have a high functioning TV room by day and 6th bedroom by night (just one of three En Suites). This room is perfect for kids or when hosting additional guests! On the second level you will find four bedrooms, one En Suite with its own full bath, including a custom-tiled shower and large covered private deck, three more bedrooms, a large hall bath and laundry closet. The sunny and spacious third level boasts an open floor plan living room and dining room with cathedral ceilings, an abundance of windows, gas fireplace and plenty of space to entertain. Step out onto the large covered third floor deck off the living room with a stunning mahogany ceiling and check out a view of the ocean while enjoying many happy hours of peaceful relaxation. The top-of-the-line custom kitchen will offer",2600000,2600000,2400,3,6,4,4,,8243,1
townhomes,"Elegant East Facing Townhome located in the North Village of Princeton walk neighborhood! Fully renovated house is move-in ready, just unpack and enjoy all the updates.",599000,595000,1473,2,2,3,2,1,8540,0.993322
single_family,"Highest and Best by 3/18 8:00pm Located in one of the area's most sought-after neighborhoods, this home presents a rare opportunity to create your dream space. This home features 4 spacious bedrooms and 2 1/2 baths with an over sized garage and basement. Close to NYC train and Seastreak Ferry, Red Bank, The Grove shopping, beaches, and waterfront dining!",999000,1303000,2356,2,4,3,2,2,7739,1.304304
multi_family,"Investment opportunity!This four units building is excellent for [Redacted entity] an investor portfolio.First Fl left and right, two bedrooms units and the 3rd and 4th units are duplex with 6 bedrooms and 5 bedrooms.Separate utilities and an unfinished basement with a lot of potential.Located close to the park, houses of worship, school and public transportation.",859000,789000,,,15,4,4,,7522,0.91851
single_family,"Home is totally rmodeled Recessed lighting , two new bathrooms , Kitchen with granite counter tops LG Stove Refrigerator and [Redacted entity] oven above stove , [Redacted entity] ,All interior doors were replaced including sliding glass door to enclosed porch off of the kitchen , Front entry door and storm door also replaced New floor in the entire house . Built in closet in Garage and recessed lighting . Windows replaced . Custom trim work thru out the home . Home Has solar panels which lowers the electric bill for the home . Electric heat and hot water and Heat Pump .",245000,225000,1076,1,2,2,2,1,8759,0.918367
condos,"Welcome to this beautifully updated 2 Bedroom, 1.5-bath end-unit home in desirable Canterbury Mews. Recently remodeled and move-in ready, this home offers modern finishes and comfortable living throughout. Enjoy a fresh, contemporary feel with new paint and all-new flooring. The brand-new eat-in kitchen features stylish white cabinetry, quartz countertops, and GE stainless steel appliances, including a range, microwave, dishwasher, and refrigerator with water dispenser. The spacious living room is perfect for entertaining, complete with luxury vinyl plank flooring throughout the main level and a ceiling fan for added comfort. Upstairs, you'll find 2 generously sized bedrooms with brand-new carpeting, ample closet space and recessed lighting. The full bathroom offers a relaxing retreat with a large Jacuzzi tub and shower. Spacious floored attic offers abundant storage and easy access via pull down stairs The walk-out unfinished basement with French doors leading to a patio area, provides plenty of storage and potential for additional living space. Residents also enjoy access to community amenities, including a clubhouse, outside pool, and carefree living .",299900,290000,1501,2,2,2,1,,8080,0.966989
multi_family,"Investor Opportunity: Property sold strictly AS-IS with electrical and other defects. [Redacted entity] is responsible for all inspections, repairs, and municipal requirements. Located in Jersey City's West Bergen neighborhood, with easy access to transportation, shopping, parks, and commuter routes. Strong renovation potential for investors. Cash Only.",495000,475000,,,3,2,2,,7304,0.959596
single_family,"Nestled in the niche and highly desirable [Redacted entity] neighborhood of Mount Laurel-where homeowners stay for years because of the prime location and close knit neighbors-this beautifully maintained 4 bedroom, 2.5 bath Colonial welcomes you with a charming front porch, perfect for [Redacted entity] chairs, and a stunning wood front door with a glass inset. The foyer features hardwood flooring that flows seamlessly into the living and dining rooms, accented by crown molding, while all first floor rooms have been freshly painted in the warm and timeless shade ""Divine White."" The eat in kitchen offers tile floors, stainless steel appliances, a pantry, abundant cabinetry, Corian countertops, a double seamless sink overlooking the backyard, crown molding, recessed lighting, and a Tiffany style lamp. The family room is filled with natural light from a bay window and showcases crown molding, durable LV flooring, and a cozy gas fireplace, with sliding glass doors leading to an inviting backyard retreat complete with stamped concrete, vinyl fencing, French drainage, and a large covered porch with skylights and a new roof (2022). A substantial shed-also with a new roof-offers endless possibilities, including potential office space with the addition of electricity. The updated half bath features a pedestal sink, newer toilet, and tile flooring, while the nearby laundry room includes a [Redacted entity] washer and dryer, new LV flooring, and a newer [Redacted entity] White [Redacted entity], with access to the fully insulated two car garage. Upstairs, the hardwood hallway offers attic access via pulldown stairs with storage capabilities. The primary bedroom includes an open dressing area, walk in closet, fresh paint, new LV flooring, and a beautifully updated en suite bath (2018) with a granite topped vanity. Three additional generously sized bedrooms complete the upper level-two freshly painted with steam cleaned carpets and one with hardwood floors-along with a full hall bath featuring fres",525000,560000,2164,2,4,3,2,2,8054,1.066667
single_family,"What a view! Very clean 3 bedroom raised ranch with a full finished basement, solar system and off street parking that backs to Kennedy Lake Park in historic Burlington City. Imagine sitting on your covered porch drinking your morning coffee and watching the serene shimmering lake........here's your chance! Floor plan consists of a 16 x 13 living room, dining room, kitchen, 3 closeted bedrooms and a full bath. The living room, hall and all [Redacted entity] hardwood flooring and the kitchen, which includes all appliances shown, has over 40' of cabinetry including a pantry closet. Downstairs is a huge 27 x [Redacted entity] plus a utility/workshop area WITH a toilet room! The workshop area includes a drainboard and sink and storage cabinets plus washer and dryer hookups if you prefer a basement laundry(current washer/dryer is upstairs). Outside is a huge concrete patio area, [Redacted entity], storage shed, fully fenced back yard, rooftop solar system and a covered rear porch. Location is minutes from the Burlington Bristol Bridge, Rt 130 and The Riverline. Please note that this is an estate sale, requires flood insurance and is being sold as-is([Redacted entity] repairs). Also note that water in the basement resulted in removal of some wall covering. Since then a professionally installed perimeter drain and sump pump system, with battery backup, has been installed but the drywall repairs remain. This house is in the flood zone . $2790. per year ins,",299900,278000,1344,1,3,1,1,,8016,0.926976
single_family,"Opportunity awaits with this 2-bedroom, 1-bath waterfront property offering endless potential. Perfect for investors, flippers, or buyers looking to create their own shore getaway, this home is ready for your vision and updates. Located on the water, it's ideal for boating, fishing, crabbing, or simply enjoying the coastal lifestyle. Property is being sold strictly as-is. [Redacted entity] responsible for all inspections, certifications, and due diligence. No letter of Substantial damage.",350000,350000,751,1,2,1,1,,8087,1
